bug,file,line_num,color
ladybug,seat.c,48,blue
stonefly,rdb.c,97,blue
stonefly,rdb.c,100,green
stonefly,rdb.c,354,orange
stonefly,rdb.c,346,red
stonefly,rdb.c,349,pink
stonefly,rdb.c,352,purple
hornet,commands.c,270,blue
hornet,commands.c,288,green
hornet,commands.c,298,orange
hornet,commands.c,303,red
hornet,commands.c,347,pink
hornet,commands.c,378,purple
hornet,commands.c,399,cyan
hornet,commands.c,499,magenta
silverfish,hellocluster.c,81,blue
praying_mantis,util.c,90,blue
spider,swaynag.c,419,blue
firefly,dgst.c,506,blue
weevil,http_client.c,1239,blue
weevil,http_client.c,1245,green
weevil,http_client.c,1222,orange
